Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change %
2024-05-15 00:00:00-04:00,39615.10156,39935.03906,39615.10156,39908,411190000,0,0,0.884497845
2024-05-16 00:00:00-04:00,39912.33984,40051.05078,39864.67969,39869.37891,400560000,0,0,-0.096775318
2024-05-17 00:00:00-04:00,39911.71875,40010.87891,39858.85938,40003.58984,300260000,0,0,0.336626607
2024-05-20 00:00:00-04:00,39989.76172,40077.39844,39787.08984,39806.76953,272420000,0,0,-0.492006626
2024-05-21 00:00:00-04:00,39804.39844,39905.80078,39778.73047,39872.98828,314120000,0,0,0.166350475
2024-05-22 00:00:00-04:00,39863.32813,39890.91016,39559.08984,39671.03906,258430000,0,0,-0.506481273
2024-05-23 00:00:00-04:00,39694.94922,39694.94922,39025.51172,39065.26172,335640000,0,0,-1.527001455
2024-05-24 00:00:00-04:00,39089.23047,39220.30859,39020.28906,39069.58984,249810000,0,0,0.011079217
2024-05-28 00:00:00-04:00,39028.98828,39028.98828,38706.14063,38852.85938,303340000,0,0,-0.554729317
2024-05-29 00:00:00-04:00,38716.28125,38716.28125,38413.67188,38441.53906,292280000,0,0,-1.058661625
2024-05-30 00:00:00-04:00,38368.35156,38493.60156,38000.96094,38111.48047,360090000,0,0,-0.858598802
2024-05-31 00:00:00-04:00,38140.26172,38719.42969,38092.26953,38686.32031,618200000,0,0,1.508311503
2024-06-03 00:00:00-04:00,38709.98828,38735.60938,38247.21875,38571.03125,314010000,0,0,-0.298009895
2024-06-04 00:00:00-04:00,38518.85938,38786.62109,38397.82031,38711.28906,304450000,0,0,0.363635112
2024-06-05 00:00:00-04:00,38774.82031,38844.32031,38548.76953,38807.32813,310970000,0,0,0.248090582
2024-06-06 00:00:00-04:00,38825.39844,39004.16016,38735.98828,38886.17188,269000000,0,0,0.203167169
2024-06-07 00:00:00-04:00,38861.23828,39105.23047,38751.85156,38798.98828,265850000,0,0,-0.224202048
2024-06-10 00:00:00-04:00,38784.89844,38877.85938,38665.44922,38868.03906,330580000,0,0,0.177970572
2024-06-11 00:00:00-04:00,38795.71094,38795.71094,38446.23828,38747.42188,383090000,0,0,-0.310324859
2024-06-12 00:00:00-04:00,38950.64844,39120.26172,38621.44922,38712.21094,472280000,0,0,-0.090872981
2024-06-13 00:00:00-04:00,38677.12109,38712.21094,38407.69922,38647.10156,341330000,0,0,-0.168188211
2024-06-14 00:00:00-04:00,38528.39063,38595.23828,38305.85156,38589.16016,272200000,0,0,-0.149924325
2024-06-17 00:00:00-04:00,38565.17969,38839.87891,38431.94922,38778.10156,346190000,0,0,0.489623007
2024-06-18 00:00:00-04:00,38779.12109,38936.92969,38727.67188,38834.85938,324260000,0,0,0.14636563
2024-06-20 00:00:00-04:00,38804.73047,39232.5,38778.46094,39134.76172,397010000,0,0,0.772250366
2024-06-21 00:00:00-04:00,39208.51172,39257.17969,39061.67188,39150.32813,818670000,0,0,0.039776418
2024-06-24 00:00:00-04:00,39184.48828,39571.23047,39184.48828,39411.21094,373940000,0,0,0.666361752
2024-06-25 00:00:00-04:00,39398.78906,39423.26172,38997.23047,39112.16016,339010000,0,0,-0.758796226
2024-06-26 00:00:00-04:00,39063.14844,39183.73828,38908.98828,39127.80078,333100000,0,0,0.039989162
2024-06-27 00:00:00-04:00,39107.10156,39250.69141,39026.75,39164.05859,338010000,0,0,0.092665092
2024-06-28 00:00:00-04:00,39092.39063,39443.60156,38937.14844,39118.85938,679630000,0,0,-0.115409946
2024-07-01 00:00:00-04:00,39186.19922,39438.35938,39037.94141,39169.51953,346210000,0,0,0.129503153
2024-07-02 00:00:00-04:00,39108.25,39340.48828,39085.69141,39331.85156,317380000,0,0,0.414434574
2024-07-03 00:00:00-04:00,39358.94922,39411.17188,39230.85938,39308,202070000,0,0,-0.06064185
2024-07-05 00:00:00-04:00,39313.39844,39399.62109,39168.69922,39375.87109,325230000,0,0,0.172664836
2024-07-08 00:00:00-04:00,39391.98047,39654.96094,39278.42969,39344.78906,358320000,0,0,-0.078936746
2024-07-09 00:00:00-04:00,39357.37109,39492.28125,39146.60156,39291.96875,361410000,0,0,-0.13424983
2024-07-10 00:00:00-04:00,39272.44922,39736.19922,39256.71875,39721.35938,334180000,0,0,1.092820336
2024-07-11 00:00:00-04:00,39695.17969,39875.60156,39623.12109,39753.75,361530000,0,0,0.081544603
2024-07-12 00:00:00-04:00,39783.28125,40257.23828,39783.28125,40000.89844,325780000,0,0,0.621698425
2024-07-15 00:00:00-04:00,40138.39844,40351.10156,40136.10156,40211.71875,308880000,0,0,0.527038943
2024-07-16 00:00:00-04:00,40263.78125,40988.80859,40263.78125,40954.48047,306390000,0,0,1.847127509
